antidep,var_id,cgrp,ctype,code,coef,likelir,vif,description,notes,Proper,Revised
CITALOPRAM,823,rx,GEN,G04368,0.14,1.38,1.02,"ESTROGEN,CON/M-PROGEST ACET",ESTROGENS,"Estrogen,Con/M-Progest Acet","Estrogen,Con/M-Progest Acet"
FLUOXETINE,807,rx,GEN,G04368,0.15,1.55,1.01,"ESTROGEN,CON/M-PROGEST ACET",ESTROGENS,"Estrogen,Con/M-Progest Acet","Estrogen,Con/M-Progest Acet"
PAROXETINE,802,rx,GEN,G04368,0.12,1.31,1.04,"ESTROGEN,CON/M-PROGEST ACET",ESTROGENS,"Estrogen,Con/M-Progest Acet","Estrogen,Con/M-Progest Acet"
SERTRALINE,820,rx,GEN,G04368,0.15,1.54,1.02,"ESTROGEN,CON/M-PROGEST ACET",ESTROGENS,"Estrogen,Con/M-Progest Acet","Estrogen,Con/M-Progest Acet"
FLUOXETINE,808,rx,GEN,G04369,0.11,1.38,1.01,"ESTROGEN,ESTER/ME-TESTOSTERONE",ESTROGENS,"Estrogen,Ester/Me-Testosterone","Estrogen,Ester/Me-Testosterone"
CITALOPRAM,824,rx,GEN,G04370,0.07,1.24,1.03,"ESTROGENS, CONJUGATED",MISCELLANEOUS,"Estrogens, Conjugated","Estrogens, Conjugated"
FLUOXETINE,809,rx,GEN,G04370,0.09,1.43,1.03,"ESTROGENS, CONJUGATED",MISCELLANEOUS,"Estrogens, Conjugated","Estrogens, Conjugated"
PAROXETINE,804,rx,GEN,G04370,0.06,1.25,1.04,"ESTROGENS, CONJUGATED",MISCELLANEOUS,"Estrogens, Conjugated","Estrogens, Conjugated"
SERTRALINE,821,rx,GEN,G04370,0.08,1.39,1.03,"ESTROGENS, CONJUGATED",MISCELLANEOUS,"Estrogens, Conjugated","Estrogens, Conjugated"
Less common antidepressants or combination of antidepressants,820,rx,GEN,G04383,-0.04,0.82,1.04,ESZOPICLONE,SEDATIVE NON-BARBITURATE,Eszopiclone,Eszopiclone
CITALOPRAM,826,rx,GEN,G04402,0.08,0.78,1.03,ETHINYL ESTRADIOL/DROSPIRENONE,SYSTEMIC CONTRACEPTIVES,Ethinyl Estradiol/Drospirenone,Ethinyl Estradiol/Drospirenone
SERTRALINE,823,rx,GEN,G04402,0.08,0.81,1.03,ETHINYL ESTRADIOL/DROSPIRENONE,SYSTEMIC CONTRACEPTIVES,Ethinyl Estradiol/Drospirenone,Ethinyl Estradiol/Drospirenone
FLUOXETINE,813,rx,GEN,G04437,-0.09,0.66,1.02,ETONOGESTREL/ETHINYL ESTRADIOL,SYSTEMIC CONTRACEPTIVES,Etonogestrel/Ethinyl Estradiol,Etonogestrel/Ethinyl Estradiol
CITALOPRAM,695,dxo,ICD9,V720,0.06,1.05,1.01,EXAMINATION OF EYES AND VISION,OTHER EYE DISORDERS,Examination Of Eyes And Vision,Examination Of Eyes And Vision
BUPROPION,692,px,CPT4,90801,0.13,1.59,1.58,PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Interview Examination,Examined for Psychiatric Diagnosis
CITALOPRAM,730,px,CPT4,90801,-0.43,0.37,1.68,PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Interview Examination,Examined for Psychiatric Diagnosis
CITALOPRAM,728,px,CPT4,90791,-0.28,0.42,1.52,PSYCHIATRIC DIAGNOSTIC EVALUATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Evaluation,Examined for Psychiatric Diagnosis
DESVENLAFAXINE,709,px,CPT4,90801,-0.55,0.38,1.65,PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Interview Examination,Examined for Psychiatric Diagnosis
DULOXETINE,728,px,CPT4,90801,-0.32,0.52,1.62,PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Interview Examination,Examined for Psychiatric Diagnosis
FLUOXETINE,697,px,CPT4,90791,-0.28,0.4,1.65,PSYCHIATRIC DIAGNOSTIC EVALUATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Evaluation,Examined for Psychiatric Diagnosis
TRAZODONE,735,px,CPT4,90801,0.17,2.25,1.54,PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Interview Examination,Examined for Psychiatric Diagnosis
VENLAFAXINE,708,px,CPT4,90801,-0.44,0.41,1.69,PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Interview Examination,Examined for Psychiatric Diagnosis
VENLAFAXINE,706,px,CPT4,90791,-0.28,0.43,1.61,PSYCHIATRIC DIAGNOSTIC EVALUATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Evaluation,Examined for Psychiatric Diagnosis
Less common antidepressants or combination of antidepressants,721,px,CPT4,90801,-0.31,0.53,1.65,PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Interview Examination,Examined for Psychiatric Diagnosis
Less common antidepressants or combination of antidepressants,719,px,CPT4,90791,-0.17,0.57,1.57,PSYCHIATRIC DIAGNOSTIC EVALUATION,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Evaluation,Examined for Psychiatric Diagnosis
CITALOPRAM,729,px,CPT4,90792,-0.26,0.44,1.16,PSYCHIATRIC DIAGNOSTIC EVALUATION WITH MEDICAL SERVICES,PSYCHOLOGICAL AND PSYCHIATRIC,Psychiatric Diagnostic Evaluation With Medical Services,Examined for Psychiatric Diagnosis and Received Medical Services
CITALOPRAM,830,rx,GEN,G04505,0.17,1.45,1.02,EZETIMIBE/SIMVASTATIN,LIPOTROPICS,Ezetimibe/Simvastatin,Ezetimibe/Simvastatin
DULOXETINE,828,rx,GEN,G04505,0.18,1.42,1.03,EZETIMIBE/SIMVASTATIN,LIPOTROPICS,Ezetimibe/Simvastatin,Ezetimibe/Simvastatin
FLUOXETINE,815,rx,GEN,G04505,0.13,1.56,1.02,EZETIMIBE/SIMVASTATIN,LIPOTROPICS,Ezetimibe/Simvastatin,Ezetimibe/Simvastatin
PAROXETINE,809,rx,GEN,G04505,0.14,1.48,1.02,EZETIMIBE/SIMVASTATIN,LIPOTROPICS,Ezetimibe/Simvastatin,Ezetimibe/Simvastatin
SERTRALINE,827,rx,GEN,G04505,0.09,1.49,1.02,EZETIMIBE/SIMVASTATIN,LIPOTROPICS,Ezetimibe/Simvastatin,Ezetimibe/Simvastatin
VENLAFAXINE,817,rx,GEN,G04505,0.18,1.47,1.02,EZETIMIBE/SIMVASTATIN,LIPOTROPICS,Ezetimibe/Simvastatin,Ezetimibe/Simvastatin
Less common antidepressants or combination of antidepressants,824,rx,GEN,G04505,0.07,1.22,1.02,EZETIMIBE/SIMVASTATIN,LIPOTROPICS,Ezetimibe/Simvastatin,Ezetimibe/Simvastatin
CITALOPRAM,737,px,CPT4,90847,-0.17,0.31,1.1,"FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES",PSYCHOLOGICAL AND PSYCHIATRIC,"Family Psychotherapy (Conjoint Psychotherapy) (With Patient Present), 50 Minutes",Family Psychotherapy
DESVENLAFAXINE,718,px,CPT4,90847,-0.22,0.31,1.09,"FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES",PSYCHOLOGICAL AND PSYCHIATRIC,"Family Psychotherapy (Conjoint Psychotherapy) (With Patient Present), 50 Minutes",Family Psychotherapy
FLUOXETINE,708,px,CPT4,90847,-0.09,0.32,1.13,"FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES",PSYCHOLOGICAL AND PSYCHIATRIC,"Family Psychotherapy (Conjoint Psychotherapy) (With Patient Present), 50 Minutes",Family Psychotherapy
PAROXETINE,709,px,CPT4,90847,-0.15,0.34,1.08,"FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES",PSYCHOLOGICAL AND PSYCHIATRIC,"Family Psychotherapy (Conjoint Psychotherapy) (With Patient Present), 50 Minutes",Family Psychotherapy
SERTRALINE,727,px,CPT4,90847,-0.14,0.29,1.12,"FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES",PSYCHOLOGICAL AND PSYCHIATRIC,"Family Psychotherapy (Conjoint Psychotherapy) (With Patient Present), 50 Minutes",Family Psychotherapy
Less common antidepressants or combination of antidepressants,730,px,CPT4,90847,-0.04,0.45,1.1,"FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES",PSYCHOLOGICAL AND PSYCHIATRIC,"Family Psychotherapy (Conjoint Psychotherapy) (With Patient Present), 50 Minutes",Family Psychotherapy
VENLAFAXINE,717,px,CPT4,90847,-0.1,0.36,1.09,"FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES",PSYCHOLOGICAL AND PSYCHIATRIC,"Family Psychotherapy (Conjoint Psychotherapy) (With Patient Present), 50 Minutes",Family Psychotherapy 
DULOXETINE,829,rx,GEN,G04546,-0.22,0.83,1.02,FAMOTIDINE,ANTI-ULCER PREPS/GASTROINTESTINAL PREPS,Famotidine,Famotidine
ESCITALOPRAM,818,rx,GEN,G04546,-0.16,0.94,1.02,FAMOTIDINE,ANTI-ULCER PREPS/GASTROINTESTINAL PREPS,Famotidine,Famotidine
CITALOPRAM,832,rx,GEN,G04615,0.11,1.49,1.02,FENOFIBRATE,LIPOTROPICS,Fenofibrate,Fenofibrate
FLUOXETINE,817,rx,GEN,G04615,0.12,1.65,1.02,FENOFIBRATE,LIPOTROPICS,Fenofibrate,Fenofibrate
SERTRALINE,829,rx,GEN,G04615,0.18,1.63,1.01,FENOFIBRATE,LIPOTROPICS,Fenofibrate,Fenofibrate
Less common antidepressants or combination of antidepressants,826,rx,GEN,G04615,0.07,1.4,1.02,FENOFIBRATE,LIPOTROPICS,Fenofibrate,Fenofibrate
CITALOPRAM,833,rx,GEN,G04616,0.09,1.37,1.02,FENOFIBRATE NANOCRYSTALLIZED,LIPOTROPICS,Fenofibrate Nanocrystallized,Fenofibrate Nanocrystallized
DULOXETINE,831,rx,GEN,G04616,0.1,1.31,1.02,FENOFIBRATE NANOCRYSTALLIZED,LIPOTROPICS,Fenofibrate Nanocrystallized,Fenofibrate Nanocrystallized
ESCITALOPRAM,819,rx,GEN,G04616,0.16,1.54,1.01,FENOFIBRATE NANOCRYSTALLIZED,LIPOTROPICS,Fenofibrate Nanocrystallized,Fenofibrate Nanocrystallized
Less common antidepressants or combination of antidepressants,827,rx,GEN,G04616,0.06,1.28,1.03,FENOFIBRATE NANOCRYSTALLIZED,LIPOTROPICS,Fenofibrate Nanocrystallized,Fenofibrate Nanocrystallized
SERTRALINE,831,rx,GEN,G04617,0.09,1.44,1.02,"FENOFIBRATE,MICRONIZED",LIPOTROPICS,"Fenofibrate,Micronized","Fenofibrate,Micronized"
Less common antidepressants or combination of antidepressants,828,rx,GEN,G04617,0.06,1.21,1.02,"FENOFIBRATE,MICRONIZED",LIPOTROPICS,"Fenofibrate,Micronized","Fenofibrate,Micronized"
ESCITALOPRAM,821,rx,GEN,G04624,0.13,1.42,1.06,FENTANYL,NARCOTIC ANALGESICS,Fentanyl,Fentanyl
DULOXETINE,833,rx,GEN,G04706,0.07,1.1,1.02,FEXOFENADINE HCL,ANTIHISTAMINES,Fexofenadine Hcl,Fexofenadine 
VENLAFAXINE,823,rx,GEN,G04706,0.07,1.1,1.03,FEXOFENADINE HCL,ANTIHISTAMINES,Fexofenadine Hcl,Fexofenadine 
Less common antidepressants or combination of antidepressants,830,rx,GEN,G04706,-0.04,0.91,1.03,FEXOFENADINE HCL,ANTIHISTAMINES,Fexofenadine Hcl,Fexofenadine 
CITALOPRAM,836,rx,GEN,G04708,0.11,1.1,1.01,FEXOFENADINE/PSEUDOEPHEDRINE,ANTIHISTAMINES,Fexofenadine/Pseudoephedrine,Fexofenadine/Pseudoephedrine
PAROXETINE,816,rx,GEN,G04708,0.09,1.02,1.01,FEXOFENADINE/PSEUDOEPHEDRINE,ANTIHISTAMINES,Fexofenadine/Pseudoephedrine,Fexofenadine/Pseudoephedrine
SERTRALINE,671,dxo,ICD9,V5881,0.12,1.18,1.04,FITTING AND ADJUSTMENT OF VASCULAR CATHETER,OTHER AFTERCARE,Fitting And Adjustment Of Vascular Catheter,Fitting And Adjustment Of Vascular Catheter
ESCITALOPRAM,549,dxo,ICD9,7873,-0.08,0.95,1.04,"FLATULENCE, ERUCTATION, AND GAS PAIN",OTHER GASTROINTESTINAL DISORDE,"Flatulence, Eructation, And Gas Pain","Flatulence, Eructation, And Gas Pain"
FLUOXETINE,533,dxo,ICD9,7873,-0.06,0.88,1.05,"FLATULENCE, ERUCTATION, AND GAS PAIN",OTHER GASTROINTESTINAL DISORDE,"Flatulence, Eructation, And Gas Pain","Flatulence, Eructation, And Gas Pain"
PAROXETINE,555,dxo,ICD9,7873,-0.14,0.81,1.04,"FLATULENCE, ERUCTATION, AND GAS PAIN",OTHER GASTROINTESTINAL DISORDE,"Flatulence, Eructation, And Gas Pain","Flatulence, Eructation, And Gas Pain"
ROPINIROLE,604,dxo,ICD9,7873,-0.21,0.8,1.01,"FLATULENCE, ERUCTATION, AND GAS PAIN",OTHER GASTROINTESTINAL DISORDE,"Flatulence, Eructation, And Gas Pain","Flatulence, Eructation, And Gas Pain"
SERTRALINE,553,dxo,ICD9,7873,-0.08,0.86,1.05,"FLATULENCE, ERUCTATION, AND GAS PAIN",OTHER GASTROINTESTINAL DISORDE,"Flatulence, Eructation, And Gas Pain","Flatulence, Eructation, And Gas Pain"
Less common antidepressants or combination of antidepressants,574,dxo,ICD9,7873,-0.04,0.92,1.07,"FLATULENCE, ERUCTATION, AND GAS PAIN",OTHER GASTROINTESTINAL DISORDE,"Flatulence, Eructation, And Gas Pain","Flatulence, Eructation, And Gas Pain"
Less common antidepressants or combination of antidepressants,833,rx,GEN,G04897,-0.02,0.93,1.16,FLUCONAZOLE,MISCELLANEOUS,Fluconazole,Fluconazole
CITALOPRAM,840,rx,GEN,G04953,0.2,0.85,1.09,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
DOXEPIN,826,rx,GEN,G04953,-0.2,0.92,1.06,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
DULOXETINE,836,rx,GEN,G04953,0.17,0.94,1.1,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
ESCITALOPRAM,827,rx,GEN,G04953,0.23,1.04,1.11,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
FLUOXETINE,826,rx,GEN,G04953,0.66,1.27,1.49,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
PAROXETINE,819,rx,GEN,G04953,0.23,0.9,1.09,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
ROPINIROLE,846,rx,GEN,G04953,-0.34,0.84,1.07,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
SERTRALINE,839,rx,GEN,G04953,0.18,0.76,1.1,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
VENLAFAXINE,828,rx,GEN,G04953,0.15,0.88,1.1,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
Less common antidepressants or combination of antidepressants,836,rx,GEN,G04953,0.33,1.07,1.2,FLUOXETINE HCL,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluoxetine Hcl,Fluoxetine 
SERTRALINE,840,rx,GEN,G04973,0.04,1.15,1.06,FLUTICASONE PROPION/SALMETEROL,BRONCHIAL DILATORS,Fluticasone Propion/Salmeterol,Fluticasone Propion/Salmeterol
Less common antidepressants or combination of antidepressants,839,rx,GEN,G04984,-0.06,0.5,1.08,FLUVOXAMINE MALEATE,PSYCHOSTIMULANTS-ANTIDEPRESSANTS,Fluvoxamine Maleate,Fluvoxamine Maleate
ESCITALOPRAM,832,rx,GEN,G05094,0.04,1.26,1.11,GABAPENTIN,ALL OTHER DERMATOLOGICALS,Gabapentin,Gabapentin
CITALOPRAM,847,rx,GEN,G05198,0.12,1.4,1.01,GEMFIBROZIL,MISCELLANEOUS,Gemfibrozil,Gemfibrozil
PAROXETINE,826,rx,GEN,G05198,0.17,1.55,1.02,GEMFIBROZIL,MISCELLANEOUS,Gemfibrozil,Gemfibrozil
SERTRALINE,846,rx,GEN,G05198,0.09,1.44,1.01,GEMFIBROZIL,MISCELLANEOUS,Gemfibrozil,Gemfibrozil
VENLAFAXINE,835,rx,GEN,G05198,0.17,1.39,1.01,GEMFIBROZIL,MISCELLANEOUS,Gemfibrozil,Gemfibrozil
Less common antidepressants or combination of antidepressants,844,rx,GEN,G05198,0.08,1.3,1.01,GEMFIBROZIL,MISCELLANEOUS,Gemfibrozil,Gemfibrozil
AMITRIPTYLINE,5,aa,dem,gender_F,-0.15,0.95,1.2,Gender: Female,Demographics,Gender: Female,Female at birth
BUPROPION,5,aa,dem,gender_F,-0.07,0.98,1.16,Gender: Female,Demographics,Gender: Female,Female at birth
DULOXETINE,5,aa,dem,gender_F,0.06,1.03,1.16,Gender: Female,Demographics,Gender: Female,Female at birth
ESCITALOPRAM,5,aa,dem,gender_F,-0.02,1,1.32,Gender: Female,Demographics,Gender: Female,Female at birth
FLUOXETINE,5,aa,dem,gender_F,0.04,1.02,1.26,Gender: Female,Demographics,Gender: Female,Female at birth
MIRTAZAPINE,5,aa,dem,gender_F,-0.15,0.94,1.12,Gender: Female,Demographics,Gender: Female,Female at birth
NORTRIPTYLINE,5,aa,dem,gender_F,-0.2,0.95,1.01,Gender: Female,Demographics,Gender: Female,Female at birth
ROPINIROLE,4,aa,dem,gender_F,-0.15,0.95,1.05,Gender: Female,Demographics,Gender: Female,Female at birth
SERTRALINE,5,aa,dem,gender_F,0.03,1.02,1.45,Gender: Female,Demographics,Gender: Female,Female at birth
VENLAFAXINE,5,aa,dem,gender_F,0.04,1.02,1.22,Gender: Female,Demographics,Gender: Female,Female at birth
Less common antidepressants or combination of antidepressants,5,aa,dem,gender_F,0.08,1.03,1.56,Gender: Female,Demographics,Gender: Female,Female at birth
AMITRIPTYLINE,173,dxo,ICD9,30002,0.28,1.9,1.06,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
CITALOPRAM,196,dxo,ICD9,30002,-0.05,0.69,1.1,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
DESVENLAFAXINE,167,dxo,ICD9,30002,-0.09,0.63,1.13,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
DULOXETINE,199,dxo,ICD9,30002,-0.05,0.74,1.12,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
FLUOXETINE,175,dxo,ICD9,30002,-0.08,0.62,1.16,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
PAROXETINE,182,dxo,ICD9,30002,-0.05,0.73,1.1,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
SERTRALINE,193,dxo,ICD9,30002,-0.07,0.63,1.14,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
VENLAFAXINE,183,dxo,ICD9,30002,-0.06,0.67,1.13,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
Less common antidepressants or combination of antidepressants,38,dxi,ICD9,30002,0.08,0.71,1.15,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
Less common antidepressants or combination of antidepressants,210,dxo,ICD9,30002,-0.07,0.74,1.17,GENERALIZED ANXIETY DISORDER,ANXIETY DISORDERS,Generalized Anxiety Disorder,Generalized Anxiety Disorder
Less common antidepressants or combination of antidepressants,146,dxo,ICD9,2409,-0.06,0.9,1.01,"GOITER, UNSPECIFIED",THYROID DISORDERS,"Goiter, Unspecified",Goiter
VENLAFAXINE,841,rx,GEN,G05660,0.14,1.16,1.01,GUAIFENESIN/P-EPHED HCL,COUGH PREPARATIONS/EXPECTORANTS,Guaifenesin/P-Ephed Hcl,Guaifenesin/P-Ephed 
VENLAFAXINE,842,rx,GEN,G05666,0.13,1.16,1.02,GUAIFENESIN/PHENYLEPHRINE HCL,COUGH PREPARATIONS/EXPECTORANTS,Guaifenesin/Phenylephrine Hcl,Guaifenesin/Phenylephrine 
CITALOPRAM,696,dxo,ICD9,V723,0.13,1.09,1.13,GYNECOLOGICAL EXAMINATION,OTHER FEMALE GENITAL DISORDERS,Gynecological Examination,Gynecological Examination
ESCITALOPRAM,675,dxo,ICD9,V723,-0.21,0.71,1.13,GYNECOLOGICAL EXAMINATION,OTHER FEMALE GENITAL DISORDERS,Gynecological Examination,Gynecological Examination
PAROXETINE,671,dxo,ICD9,V723,0.03,0.97,1.2,GYNECOLOGICAL EXAMINATION,OTHER FEMALE GENITAL DISORDERS,Gynecological Examination,Gynecological Examination
SERTRALINE,683,dxo,ICD9,V723,0.09,1.12,1.12,GYNECOLOGICAL EXAMINATION,OTHER FEMALE GENITAL DISORDERS,Gynecological Examination,Gynecological Examination
VENLAFAXINE,673,dxo,ICD9,V723,0.11,1.07,1.12,GYNECOLOGICAL EXAMINATION,OTHER FEMALE GENITAL DISORDERS,Gynecological Examination,Gynecological Examination
Less common antidepressants or combination of antidepressants,690,dxo,ICD9,V723,-0.12,0.78,1.15,GYNECOLOGICAL EXAMINATION,OTHER FEMALE GENITAL DISORDERS,Gynecological Examination,Gynecological Examination
CITALOPRAM,547,dxo,ICD9,7840,-0.04,0.86,1.1,HEADACHE,HEADACHE; INCLUDING MIGRAINE,Headache,Headache
FLUOXETINE,510,dxo,ICD9,7840,-0.05,0.88,1.11,HEADACHE,HEADACHE; INCLUDING MIGRAINE,Headache,Headache
NORTRIPTYLINE,545,dxo,ICD9,7840,-0.1,0.83,1.09,HEADACHE,HEADACHE; INCLUDING MIGRAINE,Headache,Headache
PAROXETINE,531,dxo,ICD9,7840,-0.05,0.87,1.09,HEADACHE,HEADACHE; INCLUDING MIGRAINE,Headache,Headache
SERTRALINE,530,dxo,ICD9,7840,-0.05,0.86,1.12,HEADACHE,HEADACHE; INCLUDING MIGRAINE,Headache,Headache
VENLAFAXINE,525,dxo,ICD9,7840,-0.05,0.88,1.1,HEADACHE,HEADACHE; INCLUDING MIGRAINE,Headache,Headache
Less common antidepressants or combination of antidepressants,554,dxo,ICD9,7840,-0.03,0.9,1.18,HEADACHE,HEADACHE; INCLUDING MIGRAINE,Headache,Headache
TRAZODONE,675,dxo,ICD9,V4364,-0.43,0.7,1,HIP JOINT REPLACEMENT BY OTHER MEANS,OTHER CONNECTIVE TISSUE DISEAS,Hip Joint Replacement By Other Means,Hip Joint Replacement
CITALOPRAM,853,rx,GEN,G05917,-0.12,1.02,1.03,HYDRALAZINE HCL,OTHER ANTIHYPERTENSIVES,Hydralazine Hcl,Hydralazine 
SERTRALINE,854,rx,GEN,G05917,-0.13,1.07,1.04,HYDRALAZINE HCL,OTHER ANTIHYPERTENSIVES,Hydralazine Hcl,Hydralazine 
AMITRIPTYLINE,847,rx,GEN,G05933,0.07,1.17,1.07,HYDROCODONE/ACETAMINOPHEN,NARCOTIC ANALGESICS,Hydrocodone/Acetaminophen,Hydrocodone/Acetaminophen
DULOXETINE,846,rx,GEN,G05933,0.05,1.06,1.13,HYDROCODONE/ACETAMINOPHEN,NARCOTIC ANALGESICS,Hydrocodone/Acetaminophen,Hydrocodone/Acetaminophen
ESCITALOPRAM,842,rx,GEN,G05933,0.05,1.11,1.11,HYDROCODONE/ACETAMINOPHEN,NARCOTIC ANALGESICS,Hydrocodone/Acetaminophen,Hydrocodone/Acetaminophen
FLUOXETINE,843,rx,GEN,G05933,0.02,1.07,1.12,HYDROCODONE/ACETAMINOPHEN,NARCOTIC ANALGESICS,Hydrocodone/Acetaminophen,Hydrocodone/Acetaminophen
SERTRALINE,856,rx,GEN,G05933,0.02,1.03,1.14,HYDROCODONE/ACETAMINOPHEN,NARCOTIC ANALGESICS,Hydrocodone/Acetaminophen,Hydrocodone/Acetaminophen
DULOXETINE,847,rx,GEN,G05936,0.08,1.13,1.03,HYDROCODONE/CHLORPHEN P-STIREX,COLD AND COUGH PREPARATIONS,Hydrocodone/Chlorphen P-Stirex,Hydrocodone/Chlorphen P-Stirex
DULOXETINE,849,rx,GEN,G05941,-0.11,0.89,1.01,HYDROCODONE/IBUPROFEN,NARCOTIC ANALGESICS,Hydrocodone/Ibuprofen,Hydrocodone/Ibuprofen
DULOXETINE,850,rx,GEN,G05955,-0.12,0.88,1.01,HYDROCORTISONE,GLUCOCORTICOIDS,Hydrocortisone,Hydrocortisone
VENLAFAXINE,849,rx,GEN,G05955,-0.1,0.87,1.01,HYDROCORTISONE,GLUCOCORTICOIDS,Hydrocortisone,Hydrocortisone
Less common antidepressants or combination of antidepressants,853,rx,GEN,G05955,-0.05,0.96,1.02,HYDROCORTISONE,GLUCOCORTICOIDS,Hydrocortisone,Hydrocortisone
DULOXETINE,852,rx,GEN,G06046,0.1,1.24,1.04,HYDROXYCHLOROQUINE SULFATE,MISCELLANEOUS,Hydroxychloroquine Sulfate,Hydroxychloroquine Sulfate
SERTRALINE,863,rx,GEN,G06046,0.12,1.32,1.06,HYDROXYCHLOROQUINE SULFATE,MISCELLANEOUS,Hydroxychloroquine Sulfate,Hydroxychloroquine Sulfate
VENLAFAXINE,853,rx,GEN,G06061,-0.07,0.81,1.02,HYDROXYZINE HCL,ANTIHISTAMINES,Hydroxyzine Hcl,Hydroxyzine 
Less common antidepressants or combination of antidepressants,856,rx,GEN,G06061,-0.05,0.86,1.06,HYDROXYZINE HCL,ANTIHISTAMINES,Hydroxyzine Hcl,Hydroxyzine 
Less common antidepressants or combination of antidepressants,857,rx,GEN,G06064,-0.06,0.72,1.08,HYDROXYZINE PAMOATE,ANTIHISTAMINES,Hydroxyzine Pamoate,Hydroxyzine Pamoate
DULOXETINE,537,dxo,ICD9,78053,0.07,1.18,1.1,"HYPERSOMNIA WITH SLEEP APNEA, UNSPECIFIED",RESIDUAL CODES; UNCLASSIFIED,"Hypersomnia With Sleep Apnea, Unspecified",Hypersomnia With Sleep Apnea
